Date,Indian rupee (INR) per gram
26-10-1979,99.80717011
29-10-1979,100.0116489
30-10-1979,100.7617258
31-10-1979,101.0369362
01-11-1979,101.2320912
02-11-1979,99.72775777
05-11-1979,100.8539984
06-11-1979,102.6110367
07-11-1979,103.5334416
08-11-1979,104.5314008
09-11-1979,103.5276545
12-11-1979,103.4167344
13-11-1979,102.2409816
14-11-1979,101.2057276
15-11-1979,99.6946425
16-11-1979,98.77448813
19-11-1979,100.8504618
20-11-1979,101.2951067
21-11-1979,103.0412137
22-11-1979,102.5499503
23-11-1979,101.8400618
26-11-1979,101.9818466
27-11-1979,102.1966136
28-11-1979,104.5088953
29-11-1979,105.6647146
30-11-1979,106.4282949
03-12-1979,109.0643346
04-12-1979,113.1715924
05-12-1979,111.6608289
06-12-1979,112.9471802
07-12-1979,112.9288543
10-12-1979,113.2098518
11-12-1979,115.2080207
12-12-1979,117.3110011
13-12-1979,119.007596
14-12-1979,119.4072297
17-12-1979,120.2335039
18-12-1979,123.2106631
19-12-1979,128.2184633
20-12-1979,124.2005845
21-12-1979,123.4292881
24-12-1979,123.1916941
25-12-1979,123.1916941
26-12-1979,123.1916941
27-12-1979,129.6867879
28-12-1979,132.0267193
31-12-1979,134.7000539
01-01-1980,134.7000539
02-01-1980,142.7126629
03-01-1980,161.4935215
04-01-1980,152.4649489
07-01-1980,160.2746867
08-01-1980,156.0208214
09-01-1980,152.598696
10-01-1980,155.3707333
11-01-1980,155.9684157
14-01-1980,164.4147384
15-01-1980,173.1578124
16-01-1980,195.0447546
17-01-1980,184.9285222
18-01-1980,208.8583229
21-01-1980,215.7327955
22-01-1980,195.298424
23-01-1980,166.1190494
24-01-1980,182.0040903
25-01-1980,177.8958679
28-01-1980,162.8795402
29-01-1980,174.6479995
30-01-1980,180.5769187
31-01-1980,171.3509404
01-02-1980,173.1420585
04-02-1980,171.3866277
05-02-1980,168.5917633
06-02-1980,175.7768122
07-02-1980,178.7636165
08-02-1980,175.0215912
11-02-1980,181.2215411
12-02-1980,179.0024966
13-02-1980,176.0353042
14-02-1980,173.7979337
15-02-1980,172.0769043
18-02-1980,169.1190356
19-02-1980,170.1706865
20-02-1980,160.1306514
21-02-1980,165.2033962
22-02-1980,165.195037
25-02-1980,160.5241765
26-02-1980,163.7144951
27-02-1980,161.4713375
28-02-1980,163.8861801
29-02-1980,165.1931079
03-03-1980,165.886278
04-03-1980,165.1632077
05-03-1980,167.1964209
06-03-1980,165.3827973
07-03-1980,157.3193901
10-03-1980,157.833159
11-03-1980,148.4104182
12-03-1980,151.4216571
13-03-1980,150.0623236
14-03-1980,131.6203338
17-03-1980,126.460782
18-03-1980,123.5935785
19-03-1980,134.4434909
20-03-1980,146.4032471
21-03-1980,140.4273878
24-03-1980,142.779858
25-03-1980,143.8549789
26-03-1980,137.378211
27-03-1980,127.8001821
28-03-1980,128.9408906
31-03-1980,133.5976048
01-04-1980,136.2995535
02-04-1980,130.6895697
03-04-1980,129.7948144
04-04-1980,129.7948144
07-04-1980,129.7948144
08-04-1980,135.4089778
09-04-1980,142.2786278
10-04-1980,140.0065346
11-04-1980,138.13086
14-04-1980,137.91545
15-04-1980,129.128008
16-04-1980,132.0916638
17-04-1980,132.3970959
18-04-1980,132.6874171
21-04-1980,131.6785267
22-04-1980,127.4526326
23-04-1980,128.9241722
24-04-1980,131.4817641
25-04-1980,140.4961904
28-04-1980,136.0137334
29-04-1980,131.3290481
30-04-1980,133.5931036
01-05-1980,130.5358892
02-05-1980,130.7098247
05-05-1980,130.7098247
06-05-1980,131.4840147
07-05-1980,129.7295484
08-05-1980,130.5400688
09-05-1980,130.5969756
12-05-1980,129.4906684
13-05-1980,129.924382
14-05-1980,131.4853007
15-05-1980,130.5728625
16-05-1980,131.4907663
19-05-1980,130.9056227
20-05-1980,129.5475752
21-05-1980,128.2091396
22-05-1980,132.3218631
23-05-1980,127.5940958
26-05-1980,127.5940958
27-05-1980,125.8843191
28-05-1980,131.0380838
29-05-1980,130.8017758
30-05-1980,133.4982589
02-06-1980,142.0966546
03-06-1980,141.7153468
04-06-1980,143.9967637
05-06-1980,147.0292221
06-06-1980,148.1117378
09-06-1980,157.466319
10-06-1980,152.9388509
11-06-1980,150.3545739
12-06-1980,148.4448195
13-06-1980,153.309549
16-06-1980,150.8069349
17-06-1980,149.3829783
18-06-1980,152.1386188
19-06-1980,150.8406932
20-06-1980,152.4877759
23-06-1980,149.8909601
24-06-1980,151.4451272
25-06-1980,157.2030044
26-06-1980,156.8088362
27-06-1980,158.7282358
30-06-1980,165.5901696
01-07-1980,164.0392176
02-07-1980,168.3104443
03-07-1980,167.1408002
04-07-1980,166.9790819
07-07-1980,164.2150822
08-07-1980,172.1206293
09-07-1980,169.482339
10-07-1980,166.0881847
11-07-1980,165.5088283
14-07-1980,161.7629448
15-07-1980,155.2337712
16-07-1980,156.1417082
17-07-1980,157.0039913
18-07-1980,152.4578757
21-07-1980,154.4492929
22-07-1980,151.9685413
23-07-1980,157.2740575
24-07-1980,157.3582925
25-07-1980,161.9950732
28-07-1980,159.4304081
29-07-1980,161.9764257
30-07-1980,160.8421474
31-07-1980,154.7489379
01-08-1980,161.2035218
04-08-1980,155.8160212
05-08-1980,157.293348
06-08-1980,155.9687372
07-08-1980,157.9836245
08-08-1980,157.6318954
11-08-1980,153.3388062
12-08-1980,153.1105359
13-08-1980,153.5661119
14-08-1980,155.3035383
15-08-1980,155.7890146
18-08-1980,151.7277323
19-08-1980,155.8365977
20-08-1980,155.8105556
21-08-1980,160.1631236
22-08-1980,159.6872926
25-08-1980,159.6872926
26-08-1980,156.6265415
27-08-1980,157.0255323
28-08-1980,158.0434249
29-08-1980,157.6550439
01-09-1980,155.0733389
02-09-1980,156.2532713
03-09-1980,157.7206314
04-09-1980,157.7090571
05-09-1980,160.7730233
08-09-1980,163.10556
09-09-1980,168.2593246
10-09-1980,170.6002205
11-09-1980,167.5754783
12-09-1980,171.8036229
15-09-1980,167.0536716
16-09-1980,166.9269977
17-09-1980,168.4612313
18-09-1980,168.0998569
19-09-1980,168.189236
22-09-1980,172.8121919
23-09-1980,179.6342588
24-09-1980,177.2499594
25-09-1980,175.7813133
26-09-1980,174.0516031
29-09-1980,171.2342332
30-09-1980,167.5471856
01-10-1980,169.3633813
02-10-1980,168.7730936
03-10-1980,167.2745473
06-10-1980,166.7176963
07-10-1980,169.2887915
08-10-1980,167.9378172
09-10-1980,169.5614299
10-10-1980,169.6276604
13-10-1980,168.9518517
14-10-1980,167.5446135
15-10-1980,168.1612649
16-10-1980,166.7967872
17-10-1980,165.4204137
20-10-1980,163.1907594
21-10-1980,161.6214815
22-10-1980,163.2958924
23-10-1980,160.3270924
24-10-1980,156.1291695
27-10-1980,157.3415741
28-10-1980,156.5423066
29-10-1980,159.2838007
30-10-1980,159.3294548
31-10-1980,157.8987465
03-11-1980,156.4021293
04-11-1980,160.0313056
05-11-1980,162.223022
06-11-1980,157.6434696
07-11-1980,149.3363597
10-11-1980,153.9056238
11-11-1980,149.7138095
12-11-1980,151.8717676
13-11-1980,152.3122328
14-11-1980,153.1963784
17-11-1980,151.5062136
18-11-1980,148.3972364
19-11-1980,157.9350769
20-11-1980,158.5083247
21-11-1980,161.0289432
24-11-1980,160.5524692
25-11-1980,154.1808342
26-11-1980,156.9785922
27-11-1980,155.7626509
28-11-1980,156.6358652
01-12-1980,160.4454072
02-12-1980,158.9999096
03-12-1980,158.9909074
04-12-1980,160.3769261
05-12-1980,157.3312859
08-12-1980,155.829846
09-12-1980,155.6440147
10-12-1980,150.8439082
11-12-1980,147.023435
12-12-1980,140.371124
15-12-1980,147.5314168
16-12-1980,142.8965652
